State,CDU/CSU,AfD,SPD,GRUENE,Die Linke,BSW,Others
BB,298048,535275,244010,108598,176224,176405,108778
BE,356099,296990,295182,328035,387222,129651,156354
BW,2006866,1256430,898778,865738,429484,260219,632483
BY,2964028,1515731,920675,957435,456935,246518,910732
HB,71573,52496,80604,54280,51461,15114,22728
HE,1033842,636778,657510,451510,311058,158653,331483
HH,216935,113608,237740,201713,151115,41919,82590
MV,181956,357361,126687,54719,123059,107872,69588
NI,1410418,894540,1153523,576845,405519,189376,385115
NW,3170627,1770379,2108434,1300901,877123,432911,865759
RP,760623,498695,462705,256869,161867,105103,236496
SH,518424,306165,352546,279923,146428,64777,211742
SL,161113,129294,131136,43371,44080,37001,53728
SN,507247,958401,217144,167269,290462,232257,196792
ST,256538,496110,146535,59077,143807,150411,84871
TH,246065,510527,115915,56097,200688,124760,70108
